,time_entry,stock,spot_entry,weight_entry,strike_call_entry,Imp_vol_call_entry,call_bid_px_entry,call_ask_px_entry,call_px_entry,delta_call_entry,strike_put_entry,Imp_vol_put_entry,put_bid_px_entry,put_ask_px_entry,put_px_entry,delta_put_entry,call_qty,put_qty,time_exit,spot_exit,weight_exit,strike_call_exit,Imp_vol_call_exit,call_bid_px_exit,call_ask_px_exit,call_px_exit,delta_call_exit,strike_put_exit,Imp_vol_put_exit,put_bid_px_exit,put_ask_px_exit,put_px_exit,delta_put_exit,call_change,call_delta_pnl,PnL_call,put_change,put_delta_pnl,PnL_put
0,2019-07-05 12:26:00,AXISBANK,809.95,-0.14244521337946944,810.0,0.24921181836313916,19.95,20.2,19.95,0.5315083180331495,800.0,0.25424276622757414,13.55,13.65,13.55,-0.3871296835734035,-3.5700554731696603,-5.256280936511787,2019-07-05 13:16:00,806.15,0.14244521337946944,810.0,0.23929753711664925,17.25,17.45,17.45,0.4984454932720934,800.0,0.25675730104485783,15.25,15.35,15.35,-0.4181591321809377,8.925138682924151,-6.98628525820837,1.9388534247157816,-9.46130568572121,8.042366076207967,-1.4189396095132434
1,2019-07-05 12:26:00,HDFCBANK,2477.55,-0.3627450980392157,2480.0,0.1704931606929478,41.65,42.4,41.65,0.5277708190201373,2460.0,0.1631234591309578,26.35,26.7,26.35,-0.3887801152632324,-4.354683049690465,-6.883208691446217,2019-07-05 13:16:00,2465.0,0.3627450980392157,2480.0,0.16678500387460887,34.6,35.05,35.05,0.4762422162217993,2460.0,0.1551179717053377,29.65,30.1,30.1,-0.43815416330093804,28.740908127957074,-27.435294877633407,1.3056132503236668,-25.812032592923316,35.71705661451037,9.905024021587053
2,2019-07-05 12:26:00,ICICIBANK,437.9,-0.21718569780853517,440.0,0.23673899358850273,9.25,9.4,9.25,0.498103868541348,435.0,0.253294545936814,8.3,8.45,8.3,-0.42405771471364884,-11.739767449110008,-13.083475771598502,2019-07-05 13:16:00,435.25,0.21718569780853517,440.0,0.22676514365507086,7.6,7.7,7.7,0.4515962333821663,435.0,0.2522050740705921,9.45,9.55,9.55,-0.464338850084536,18.19663954612051,-14.772767304445896,3.4238722416746157,-16.35434471449813,15.400892283718486,-0.9534524307796435
3,2019-07-05 12:26:00,KOTAKBANK,1517.95,-0.17047289504036908,1520.0,0.20066160830829383,29.6,29.9,29.6,0.5231555238528192,1500.0,0.2069260449918013,19.2,19.5,19.2,-0.3705346935267274,-2.879609713519748,-4.439398308342945,2019-07-05 13:16:00,1507.95,0.17047289504036908,1520.0,0.19340666509853374,23.55,23.95,23.95,0.4652206836949007,1500.0,0.20895385585761894,23.4,23.75,23.75,-0.4234890301451225,16.269794881386584,-14.230688639331122,2.039106242055462,-20.199262302960403,17.62493787826488,-2.574324424695522
4,2019-07-05 12:26:00,SBIN,372.2,-0.1071510957324106,375.0,0.2746743219082782,8.7,8.85,8.7,0.48490630821887887,370.0,0.278422559557921,8.05,8.15,8.05,-0.4329325693286714,-6.1581089501385415,-6.655347561019292,2019-07-05 13:16:00,369.1,0.1071510957324106,375.0,0.2528270991841914,6.55,6.65,6.65,0.42556235237593254,370.0,0.2751446653749727,9.35,9.45,9.45,-0.48382294121928837,12.624123347784003,-8.69048607182572,3.933637275958283,-9.317486585427,9.457056154323254,0.13956956889625438
5,2019-07-05 12:26:00,BANKNIFTY,31599.5,1.0,31600.0,0.13813965801139877,453.2,459.95,459.95,0.5428004124861487,31500.0,0.1581564805547513,375.05,377.7,377.7,-0.4271402530842371,1.0870746820306556,1.3238019592268997,2019-07-05 13:16:00,31404.7,-1.0,31600.0,0.1329302013532913,340.5,344.6,340.5,0.4649486361656058,31500.0,0.15769872392855896,463.7,464.95,463.7,-0.49326243955491156,-129.8510707685618,106.7015516237423,-23.149519144819507,113.84696849351337,-118.67516847107856,-4.828199977565191
0,2019-07-05 13:26:00,AXISBANK,803.75,-0.14244521337946944,810.0,0.2432847163392105,16.4,16.55,16.4,0.47799186526444587,800.0,0.24869132274806552,15.65,15.8,15.65,-0.4363350175775912,-4.342841871325288,-4.550965283689119,2019-07-05 14:36:00,804.65,0.14244521337946944,810.0,0.23385005797112549,16.05,16.3,16.3,0.4842395067627948,800.0,0.24948900105852556,15.3,15.45,15.45,-0.42893207674567135,0.4342841871325196,1.8804684115541592,2.314752598686679,0.9101930567378287,-1.772010228322632,-0.8618171715848033
1,2019-07-05 13:26:00,HDFCBANK,2465.0,-0.3627450980392157,2480.0,0.16812203293669134,34.85,35.4,34.85,0.4765382221609597,2460.0,0.15349365615869007,29.35,29.65,29.35,-0.43765896066071974,-5.204377303288604,-6.179643918896349,2019-07-05 14:36:00,2475.5,0.3627450980392157,2480.0,0.16261017827294033,38.95,39.1,39.1,0.519595898262063,2460.0,0.169660407104049,28.65,28.8,28.8,-0.4003355245181529,-22.11860353897657,27.217353488644918,5.098749949668349,3.3988041553929964,-27.187164503122556,-23.788360347729558
2,2019-07-05 13:26:00,ICICIBANK,435.4,-0.21718569780853517,440.0,0.2276016368759931,7.7,7.8,7.7,0.4543889346273115,435.0,0.24717463139109944,9.15,9.3,9.15,-0.4617321589093213,-14.10296739016462,-11.868070918499189,2019-07-05 14:36:00,437.4,0.21718569780853517,440.0,0.2195192943669255,8.3,8.4,8.4,0.4872587669322683,435.0,0.24475905744036336,8.15,8.3,8.3,-0.43002334352424976,-9.872077173115237,13.28002682811822,3.4079496550029837,10.087860280724307,-10.583417544843497,-0.4955572641191903
3,2019-07-05 13:26:00,KOTAKBANK,1505.8,-0.17047289504036908,1520.0,0.19263567781634158,22.45,22.85,22.45,0.45245937163509997,1500.0,0.20936062443859693,24.35,24.75,24.35,-0.4350077791395458,-3.7967237202754807,-3.500470124032219,2019-07-05 14:36:00,1515.5,0.17047289504036908,1520.0,0.18875113309572844,26.55,26.9,26.9,0.508795436548148,1500.0,0.20383765472856422,19.65,19.95,19.95,-0.3816134432748425,-16.895420555225886,17.70065181757233,0.8052312623464424,15.402068545741772,-13.864007229804411,1.5380613159373606
4,2019-07-05 13:26:00,SBIN,369.75,-0.1071510957324106,370.0,0.2567531816669046,9.25,9.35,9.25,0.5271868456186601,365.0,0.27860149247806226,6.85,7.0,6.85,-0.3912650272124626,-5.791951120670844,-7.821247863679607,2019-07-05 14:36:00,370.85,0.1071510957324106,370.0,0.24938326191599441,9.6,9.65,9.65,0.5474444297053606,365.0,0.27117460285950473,6.2,6.3,6.3,-0.37117662978097654,-2.31678044826834,3.4233165006815653,1.1065360524132255,4.301686325023782,-3.279784849517219,1.0219014755065632
5,2019-07-05 13:26:00,BANKNIFTY,31392.5,1.0,31400.0,0.13642903528702158,439.4,449.35,449.35,0.540363570119642,31300.0,0.15534550617415363,361.6,374.8,374.8,-0.4282876579151179,1.1127183709803048,1.3340448239060831,2019-07-05 14:36:00,31516.6,-1.0,31400.0,0.12856496035265721,484.3,498.3,484.3,0.593486161781735,31300.0,0.1561147628729649,315.55,323.25,315.55,-0.3867111740325855,38.88950706576164,-78.28571922163081,-39.39621215586917,-79.04215581643543,67.46355059012059,-11.578605226314835
0,2019-07-10 12:26:00,AXISBANK,775.4,-0.14244521337946944,780.0,0.2527280204204031,14.4,14.7,14.4,0.48173493416345486,770.0,0.23966609096019054,11.65,11.8,11.65,-0.4154600061423386,-4.9460143534537995,-6.113528471221864,2019-07-10 12:46:00,771.7,0.14244521337946944,780.0,0.2542907648528456,12.85,13.0,13.0,0.4452177294120396,770.0,0.23963045408756778,13.25,13.4,13.4,-0.45404222252595094,6.924420094835321,-8.481734181180602,-1.557314086345281,-10.698674824638262,9.834094266895553,-0.864580557742709
1,2019-07-10 12:26:00,HDFCBANK,2385.7,-0.3627450980392157,2400.0,0.20813317550235724,36.0,36.15,36.0,0.4732482522847777,2380.0,0.217505320636158,36.55,36.95,36.55,-0.4495893776694747,-5.038126361655774,-4.96231324267053,2019-07-10 12:46:00,2385.2,0.3627450980392157,2400.0,0.2045424029777199,34.95,35.3,35.3,0.4704415525111255,2380.0,0.22058450148670075,37.35,37.75,37.75,-0.4518959801722938,3.526688453159056,-1.188607120692008,2.3380813324670484,-5.95477589120465,1.1183631823229474,-4.836412708881703
2,2019-07-10 12:26:00,ICICIBANK,430.25,-0.21718569780853517,435.0,0.2112551094787625,5.65,5.7,5.65,0.4278454625908725,430.0,0.26858593141377823,8.7,8.85,8.7,-0.4685637714237423,-19.219973257392493,-12.481936655662942,2019-07-10 12:46:00,429.0,0.21718569780853517,435.0,0.21042240317350833,5.05,5.2,5.2,0.40095508087342757,430.0,0.2708814860464697,9.4,9.5,9.5,-0.489688771722667,8.648987965826626,-9.955952675685133,-1.3069647098585069,-9.985549324530362,7.475529714800876,-2.5100196097294862
3,2019-07-10 12:26:00,KOTAKBANK,1469.95,-0.17047289504036908,1480.0,0.22416426572207826,23.4,23.75,23.4,0.4691045352709004,1460.0,0.2601769776464525,24.6,24.9,24.6,-0.4219190684260341,-3.642583227358314,-3.464896240657908,2019-07-10 12:46:00,1470.15,0.17047289504036908,1480.0,0.22390934698159773,23.55,23.7,23.7,0.4701965470449482,1460.0,0.2592957340149278,24.35,24.75,24.75,-0.420707764179748,-1.0927749682074968,0.3421482367883999,-0.7506267314190969,-0.5197344360986812,-0.29196145445739186,-0.811695890556073
4,2019-07-10 12:26:00,SBIN,354.65,-0.1071510957324106,355.0,0.2702741718002122,7.95,8.05,7.95,0.5200306129513643,350.0,0.26908284350748285,5.25,5.3,5.25,-0.37857198091619104,-6.739062624679913,-10.204866260229583,2019-07-10 12:46:00,352.75,0.1071510957324106,355.0,0.273071085216034,7.1,7.15,7.15,0.48147080267962084,350.0,0.2708015587368635,6.05,6.1,6.1,-0.41676265638866794,5.391250099743929,-6.411721720710578,-1.0204716209666493,-8.674136321195142,7.710469425532981,-0.9636668956621612
5,2019-07-10 12:26:00,BANKNIFTY,30551.8,1.0,30600.0,0.13766292299745722,348.15,354.9,354.9,0.5149851853178253,30500.0,0.16969140011157266,361.9,363.75,363.75,-0.4478215238233818,1.4088475626937167,1.3745704467353952,2019-07-10 12:46:00,30487.5,-1.0,30600.0,0.13422914130861566,308.05,313.35,308.05,0.48428343901916115,30500.0,0.17313116017161395,398.85,402.6,398.85,-0.47232891590315995,-66.00450831220058,45.26132188283144,-20.743186429369146,48.247422680412406,-40.66369297210719,7.5837297083052135
0,2019-07-10 13:36:00,AXISBANK,770.4,0.14244521337946944,780.0,0.25291073202517006,12.2,12.3,12.3,0.43175236151802004,770.0,0.23828203331294787,13.75,13.9,13.9,-0.4677285041831366,5.790455828433717,5.123928538829836,2019-07-10 15:16:00,767.4,-0.14244521337946944,780.0,0.25397332963471797,10.95,11.1,10.95,0.40226980270027946,770.0,0.24841350258722508,15.8,15.95,15.8,-0.4991704376855318,-7.817115368385526,7.244052752761132,-0.5730626156243943,9.73546422377669,-7.431481623607862,2.303982600168828
1,2019-07-10 13:36:00,HDFCBANK,2392.95,0.3627450980392157,2400.0,0.20859086484212155,39.45,39.8,39.8,0.5017478702710945,2380.0,0.22037179668000767,33.9,34.25,34.25,-0.42333605746297154,4.557099221598188,5.295548876484901,2019-07-10 15:16:00,2388.55,-0.3627450980392157,2400.0,0.1916161588668025,33.8,34.35,33.8,0.48143053626992677,2380.0,0.1993411115460868,31.55,32.2,31.55,-0.434920629770457,-27.342595329589127,9.8569714125077,-17.485623917081426,-14.297981966509228,-9.99886851879137,-24.2968504853006
2,2019-07-10 13:36:00,ICICIBANK,431.65,0.21718569780853517,435.0,0.20028116060960985,5.85,5.95,5.95,0.45428362103065884,430.0,0.26434439113864266,7.9,8.05,8.05,-0.44446150310953136,18.250898975507155,13.489794894940072,2019-07-10 15:16:00,430.35,-0.21718569780853517,435.0,0.20215794708636006,5.3,5.45,5.3,0.42559214659203565,430.0,0.27809065161284874,8.95,9.1,8.95,-0.4673299147631924,-11.863084334079657,10.43804043482073,-1.4250438992589274,12.140815405446046,-7.994921489144986,4.145893916301061
3,2019-07-10 13:36:00,KOTAKBANK,1477.7,0.17047289504036908,1480.0,0.22570744444767768,27.35,27.7,27.7,0.5150084500787162,1460.0,0.2559353115754191,20.9,21.3,21.3,-0.381860194678902,3.0771280693207417,4.001711151182373,2019-07-10 15:16:00,1473.65,-0.17047289504036908,1480.0,0.2205192402416579,24.5,25.1,24.5,0.490349457958057,1460.0,0.2526855553617821,22.1,22.4,22.1,-0.401059929746419,-9.84680982182637,6.264570453030339,-3.5822393687960314,3.201368920945901,-6.344365889605672,-3.1429969686597707
4,2019-07-10 13:36:00,SBIN,354.3,0.1071510957324106,355.0,0.271824690721299,7.8,7.9,7.9,0.5128609053784915,350.0,0.2591591373892611,5.1,5.15,5.15,-0.38187581415521465,6.781714919772823,10.40301900314666,2019-07-10 15:16:00,353.65,-0.1071510957324106,355.0,0.26129171453451355,7.15,7.25,7.15,0.4985829817132452,350.0,0.2659456326593915,5.5,5.6,5.5,-0.397218501652322,-5.086286189829617,2.229280332371108,-2.857005857458509,3.6410566511013274,-2.6341032160916766,1.0069534350096507
5,2019-07-10 13:36:00,BANKNIFTY,30603.6,-1.0,30700.0,0.1378693620140586,320.8,335.85,320.8,0.49254836493229054,30600.0,0.16383727249600444,367.05,375.1,367.05,-0.4652770458836383,-1.5586034912718203,-1.3622122326658492,2019-07-10 15:16:00,30493.1,1.0,30700.0,0.13547074632829997,263.5,276.45,276.45,0.4397116645774891,30600.0,0.16662249344370642,423.35,438.6,438.6,-0.5083855034503091,69.12406483790527,-80.27956145638296,-11.155496618477699,-97.46628524724153,73.28001069432038,-24.186274552921148
0,2019-07-10 15:26:00,AXISBANK,769.6,0.14244521337946944,770.0,0.2559855855284953,16.3,16.85,16.85,0.5233957707141889,760.0,0.25337772551479987,10.55,10.75,10.75,-0.37702337487574766,4.226860931141526,6.625358761835788,2019-07-11 13:16:00,768.8,-0.14244521337946944,770.0,0.2589951205705605,15.7,15.9,15.7,0.5142535223731909,760.0,0.2367348171284659,9.5,9.65,9.5,-0.3761432621205121,-4.860890070812764,1.754399702871217,-3.106490367941547,-8.281698452294734,-1.9959996710183954,-10.27769812331313
1,2019-07-10 15:26:00,HDFCBANK,2388.3,0.3627450980392157,2400.0,0.18904948637222801,33.1,33.8,33.8,0.4798625767688494,2380.0,0.19972880051591133,31.75,32.35,32.35,-0.4360317670629489,5.366051746142245,5.606570294269176,2019-07-11 13:16:00,2410.35,-0.3627450980392157,2400.0,0.17709246054761366,41.35,41.8,41.35,0.5796485366648937,2380.0,0.1976523106097214,21.9,22.2,21.9,-0.3447793290267206,40.513690683373966,-62.68144084978744,-22.167750166413477,-58.5886595751129,48.263837071911766,-10.324822503201133
2,2019-07-10 15:26:00,ICICIBANK,432.25,0.21718569780853517,435.0,0.18501141497656692,5.6,5.65,5.65,0.4636544256750964,430.0,0.2820163568292856,8.2,8.4,8.4,-0.43695477789377535,19.219973257392493,12.927720107650902,2019-07-11 13:16:00,425.75,-0.21718569780853517,435.0,0.2273923540288124,4.15,4.25,4.15,0.340088351653942,430.0,0.24221944471428095,9.8,10.0,9.8,-0.5561378124986431,-28.829959886088737,50.20572272978109,21.37576284369235,18.098808150711267,-41.724874911119365,-23.626066760408097
